Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
1996 Major League Soccer stadia,,,,"This Leaflet Storymap is a demo is designed to guide readers along a point-by-point tour, with a scrolling narrative to display text, images, audio, video, and scanned map backgrounds. It uses the stadia of the original 10 MLS teams as the demo. Readers can follow the scrolling narrative or click on any marker to go directly to a specific chapter.",5,Hidden,,,37.0902,-95.7129,,,,
Columbus Crew,https://content.sportslogos.net/logos/9/324/full/ku5ltmts84hniong8nzwdiu20.gif,Source: SportsLogos.Net,https://www.sportslogos.net/logos/view/ku5ltmts84hniong8nzwdiu20/Columbus_Crew_SC/1996/Primary_Logo,"Located in Columbus, Ohio, the Columbus Crew MLS franchise was announced on June 15, 1994.",10,Hidden,,"Columbus, OH, USA",39.9611755,-82.9987942,,,,
,https://upload.wikimedia.org/wikipedia/commons/a/a2/Skorry-ohiostadium_6048.jpg,"Source: Wikimedia, CC BY-SA 3.0",https://commons.wikimedia.org/wiki/File:Skorry-ohiostadium_6048.jpg,Columbus had promised construction of a soccer-specific stadium as part of their pitch to gain a MLS franchise. The Crew would play at <b>Ohio Stadium</b> for their first three seasons before moving into Columbus Crew Stadium.,17,Plain,blue,"411 Woody Hayes Dr, Columbus, OH 43210, USA",40.009444,-82.991111,,,,
D.C. United,https://content.sportslogos.net/logos/9/325/full/j24jwmt6y3fja8gfjsjkhy6i1.gif,Source: SportsLogos.Net,https://www.sportslogos.net/logos/view/j24jwmt6y3fja8gfjsjkhy6i1/DC_United/1996/Primary_Logo,"Located in Washington, D.C., the D.C. United MLS franchise was announced on June 15, 1994. The team would win the very first MLS Cup championship for the inaugural 1996 season. Ten days after the MLS Cup final, D.C. United would win an historic double by winning the 1996 U.S. Open Cup.",10,Hidden,,"Washington, DC, USA",38.9071923,-77.0368707,,,,
,https://upload.wikimedia.org/wikipedia/commons/a/a4/RFK_Stadium_aerial_photo%2C_looking_towards_Capitol%2C_1988.jpg,Source: Public Domain,"https://commons.wikimedia.org/wiki/File:RFK_Stadium_aerial_photo,_looking_towards_Capitol,_1988.jpg","D.C. United would play at <b>Robert F. Kennedy Memorial Stadium</b> from 1996 through 2017. RFK Stadium was opened on October 1, 1961 as District of Columbia Stadium. The venue would host Washington's NFL and MLB teams as well as the Washington Whips, Washington Diplomats, and Team America of the NASL. The Washington Freedom also played at RFK Stadium during their three years in the WUSA.",17,Plain,blue,"2400 E Capitol St SE, Washington, DC 20003, USA",38.8899127,-76.9720471,,,,
New England Revolution,https://content.sportslogos.net/logos/9/327/full/new_england_revolution-primary_19963082.png,Source: SportsLogos.Net,https://www.sportslogos.net/logos/view/qtfoxrlfgs3gjvif4ao608tia/New_England_Revolution/1996/Primary_Logo,"On June 6, 1995, Robert Kraft became the founding investor/operator of the <b>New England Revolution</b> MLS franchise which joined the league as one of its founding franchises.",10,Hidden,,"Foxborough, MA, USA",42.0653812,-71.2478251,,,,
,https://upload.wikimedia.org/wikipedia/commons/9/99/Foxborostade.png,Source: Public Domain,https://commons.wikimedia.org/wiki/File:Foxborostade.png,The Revolution would play at <b>Foxboro Stadium</b> for its first five seasons. The stadium was opened in 1971 as Schaefer Stadium and served as the primary home for the New England Patriots until it was demolished in 2002. Foxboro Stadium hosted the inaugural 1996 MLS Cup final that saw D.C. United beat Los Angeles Galaxy 3-2.,17,Plain,blue,"1 Patriot Pl, Foxborough, MA 02035, USA",42.0925323,-71.2641271,,,,
New York/New Jersey MetroStars,https://content.sportslogos.net/logos/9/1485/full/new_york/new_jersey_metrostars-primary_19965779.png,Source: SportsLogos.Net,https://www.sportslogos.net/logos/view/6990/New_YorkNew_Jersey_MetroStars/1996/Primary_Logo,"Founded in October, 1994, the franchise was originally called the Empire Soccer Club, before taking on the MetroStars nickname as an homage to co-owner John Kluge's company, Metromedia. The team would drop the geographic identifier in 1998 and simply became the MetroStars. The organization was purchased by Red Bull GmgH just prior to the 2006 seasaon and was renamed Red Bull New York.",10,Hidden,,"East Rutherford, NJ, USA",40.833989,-74.0970865,,,,
,https://upload.wikimedia.org/wikipedia/commons/c/ca/Giants_Stadium_aerial.jpg,"Source: Wikimedia, CC BY-SA 2.0",https://commons.wikimedia.org/wiki/File:Giants_Stadium_aerial.jpg,"Opened in 1976, <b>Giants Stadium</b> became home to New York's NFL teams as well as the New York Cosmos NASL team during its historic run from 1977 to 1984. The MetroStars/Red Bulls played at the venue from 1996 through 2009 when the team moved into the soccer-specific Red Bull Arena in Harrison, N.J. Giants Stadium was demolished in 2010.",17,Plain,blue,"50 NJ-120, East Rutherford, NJ 07073, USA",40.812222,-74.076944,,,,
Tampa Bay Mutiny,https://content.sportslogos.net/logos/9/334/full/tampa_bay_mutiny-primary_19962712.png,Source: SportsLogos.Net,https://www.sportslogos.net/logos/list_by_team/334/Tampa_Bay_Mutiny/,MLS placed one of its founding franchises in the Tampa Bay area. The Mutiny would be owned and operated by MLS for its entire existence. The franchise was terminated following the 2001 season.,10,Hidden,,"Tampa, FL, USA",27.950575,-82.4571776,,,,
